ChestID,ItemName,TotalCount,DirectCount,ShulkerCount
F2-2,minecraft:quartz_block,25,25,0
F2-2,minecraft:quartz_bricks,68,68,0
F2-2,minecraft:quartz_pillar,13,13,0
F2-2,minecraft:smooth_quartz,155,155,0
F2-3,minecraft:black_stained_glass,354,354,0
F2-3,minecraft:brown_stained_glass,4,4,0
F2-3,minecraft:cyan_stained_glass,5,5,0
F2-3,minecraft:light_blue_stained_glass,64,64,0
F2-3,minecraft:magenta_stained_glass,1,1,0
F2-3,minecraft:purple_stained_glass,16,16,0
F2-3,minecraft:red_stained_glass,48,48,0
F2-3,minecraft:tinted_glass,4,4,0
F2-3,minecraft:white_stained_glass,21,21,0
F2-4,minecraft:blue_glazed_terracotta,16,16,0
F2-4,minecraft:blue_terracotta,49,49,0
F2-4,minecraft:brown_terracotta,8,8,0
F2-4,minecraft:hardened_clay,29,29,0
F2-4,minecraft:light_blue_glazed_terracotta,2,2,0
F2-4,minecraft:light_blue_terracotta,5,5,0
F2-4,minecraft:light_gray_terracotta,7,7,0
F2-4,minecraft:orange_terracotta,162,162,0
F2-4,minecraft:red_glazed_terracotta,34,34,0
F2-4,minecraft:red_terracotta,4,4,0
F2-4,minecraft:white_terracotta,7,7,0
F2-4,minecraft:yellow_terracotta,11,11,0
F2-5,minecraft:black_wool,168,168,0
F2-5,minecraft:blue_wool,142,142,0
F2-5,minecraft:brown_wool,5,5,0
F2-5,minecraft:gray_wool,58,58,0
F2-5,minecraft:green_wool,11,11,0
F2-5,minecraft:light_blue_wool,62,62,0
F2-5,minecraft:light_gray_wool,3,3,0
F2-5,minecraft:lime_wool,85,85,0
F2-5,minecraft:magenta_wool,65,65,0
F2-5,minecraft:orange_wool,118,118,0
F2-5,minecraft:pink_wool,58,58,0
F2-5,minecraft:purple_wool,64,64,0
F2-5,minecraft:red_wool,36,36,0
F2-5,minecraft:white_wool,53,53,0
F2-5,minecraft:yellow_wool,154,154,0
F2-6,minecraft:iron_chain,8,8,0
F2-7,owlscubed_pob:stardust_wallpaper,95,95,0
F2-8,minecraft:dirt,1,1,0
F2-9,minecraft:dirt,1,1,0
G1-1,minecraft:stick,487,487,0
G1-2,minecraft:bowl,11,11,0
G1-2,minecraft:mushroom_stew,1,1,0
G1-3,minecraft:dirt,1,1,0
G1-4,minecraft:dirt,1,1,0
G1-5,minecraft:dirt,1,1,0
G1-6,minecraft:dirt,1,1,0
G1-7,minecraft:dirt,1,1,0
G1-8,minecraft:dirt,1,1,0
G1-9,minecraft:dirt,1,1,0
G2-1,minecraft:iron_bars,33,33,0
G2-2,minecraft:cobbled_deepslate_slab,16,16,0
G2-2,minecraft:cobblestone_slab,1314,237,1077
G2-2,minecraft:cut_sandstone_slab,13,13,0
G2-2,minecraft:dark_prismarine_slab,155,155,0
G2-2,minecraft:deepslate_brick_slab,38,38,0
G2-2,minecraft:deepslate_tile_slab,11,11,0
G2-2,minecraft:normal_stone_slab,55,55,0
G2-2,minecraft:oxidized_cut_copper_slab,2,2,0
G2-2,minecraft:polished_andesite_slab,3,3,0
G2-2,minecraft:polished_blackstone_slab,57,57,0
G2-2,minecraft:polished_deepslate_slab,18,18,0
G2-2,minecraft:polished_diorite_slab,1,1,0
G2-2,minecraft:polished_tuff_slab,1,1,0
G2-2,minecraft:quartz_slab,81,81,0
G2-2,minecraft:sandstone_slab,66,66,0
G2-2,minecraft:smooth_quartz_slab,107,107,0
G2-2,minecraft:smooth_sandstone_slab,19,19,0
G2-2,minecraft:smooth_stone_slab,831,64,767
G2-2,minecraft:stone_brick_slab,863,129,734
G2-2,minecraft:waxed_cut_copper_slab,22,22,0
G2-2,minecraft:waxed_oxidized_cut_copper_slab,5,5,0
G2-3,minecraft:andesite_stairs,4,4,0
G2-3,minecraft:blackstone_stairs,51,51,0
G2-3,minecraft:cobbled_deepslate_stairs,11,11,0
G2-3,minecraft:deepslate_brick_stairs,2,2,0
G2-3,minecraft:deepslate_tile_stairs,2,2,0
G2-3,minecraft:normal_stone_stairs,336,336,0
G2-3,minecraft:oxidized_cut_copper_stairs,2,2,0
G2-3,minecraft:polished_deepslate_wall,16,16,0
G2-3,minecraft:purpur_stairs,451,451,0
G2-3,minecraft:quartz_stairs,22,22,0
G2-3,minecraft:sandstone_stairs,50,50,0
G2-3,minecraft:smooth_quartz_stairs,54,54,0
G2-3,minecraft:smooth_sandstone_stairs,61,61,0
G2-3,minecraft:stone_brick_stairs,228,228,0
G2-3,minecraft:stone_stairs,230,230,0
G2-3,minecraft:waxed_oxidized_cut_copper_stairs,14,14,0
G2-4,minecraft:cobblestone_wall,65,65,0
G2-4,minecraft:deepslate_tile_wall,30,30,0
G2-4,minecraft:diorite_wall,60,60,0
G2-4,minecraft:sandstone_wall,108,108,0
G2-4,minecraft:stone_brick_wall,52,52,0
G2-5,minecraft:acacia_fence,33,33,0
G2-5,minecraft:acacia_fence_gate,7,7,0
G2-5,minecraft:birch_fence,2,2,0
G2-5,minecraft:cherry_fence_gate,2,2,0
G2-5,minecraft:dark_oak_fence,8,8,0
G2-5,minecraft:fence_gate,2,2,0
G2-5,minecraft:oak_fence,148,148,0
G2-5,minecraft:pale_oak_fence,20,20,0
G2-5,minecraft:spruce_fence,250,250,0
G2-5,minecraft:spruce_fence_gate,11,11,0
G2-5,minecraft:warped_fence,8,8,0
G2-6,minecraft:acacia_slab,5,5,0
G2-6,minecraft:bamboo_slab,11,11,0
G2-6,minecraft:birch_slab,108,108,0
G2-6,minecraft:dark_oak_slab,157,157,0
G2-6,minecraft:end_stone_brick_slab,276,276,0
G2-6,minecraft:jungle_slab,251,251,0
G2-6,minecraft:mangrove_slab,11,11,0
G2-6,minecraft:oak_slab,328,328,0
G2-6,minecraft:spruce_slab,363,363,0
G2-6,minecraft:warped_slab,10,10,0
G2-7,minecraft:birch_stairs,54,54,0
G2-7,minecraft:cherry_stairs,3,3,0
G2-7,minecraft:dark_oak_stairs,33,33,0
G2-7,minecraft:mangrove_stairs,3,3,0
G2-7,minecraft:oak_stairs,141,141,0
G2-7,minecraft:pale_oak_stairs,1,1,0
G2-7,minecraft:spruce_stairs,362,362,0
G2-7,minecraft:warped_stairs,2,2,0
G2-8,minecraft:mangrove_fence,2,2,0
G2-8,minecraft:nether_brick_fence,26,26,0
G2-9,minecraft:dirt,1,1,0
H1-1,melonbp_mbckt:super_bucket,1,1,0
H1-1,minecraft:bucket,93,93,0
H1-1,minecraft:lava_bucket,3,3,0
H1-1,minecraft:milk_bucket,6,6,0
H1-1,minecraft:water_bucket,11,11,0
H1-2,minecraft:crafting_table,72,72,0
H1-3,minecraft:furnace,5,5,0
H1-4,minecraft:frame,81,81,0
H1-4,minecraft:glow_frame,1,1,0
H1-5,minecraft:ladder,278,278,0
H1-6,minecraft:scaffolding,203,203,0
H1-7,minecraft:cauldron,15,15,0
H1-8,minecraft:dirt,1,1,0
H1-9,minecraft:anvil,27,27,0
H2-1,minecraft:andesite,2188,2188,0
H2-1,minecraft:polished_andesite,42,42,0
H2-2,minecraft:deepslate_bricks,77,77,0
H2-2,minecraft:end_bricks,247,247,0
H2-3,minecraft:cobbled_deepslate,398,398,0
H2-4,minecraft:cobblestone,3613,191,3422
H2-4,minecraft:mossy_cobblestone,49,49,0
H2-5,minecraft:deepslate,3131,3131,0
H2-5,minecraft:deepslate_tiles,46,46,0
H2-6,minecraft:diorite,1107,1107,0
H2-6,minecraft:polished_diorite,23,23,0
H2-7,minecraft:granite,629,629,0
H2-8,minecraft:chiseled_deepslate,2,2,0
H2-8,minecraft:polished_deepslate,17,17,0
H2-9,minecraft:smooth_stone,925,925,0
I1-1,minecraft:dirt,1,1,0
I1-2,minecraft:amethyst_block,6,6,0
I1-2,minecraft:amethyst_shard,24,24,0
I1-2,owlscubed_pob:simple_blocks_logic-main-v15_h29,1,1,0
I1-3,minecraft:basalt,639,639,0
I1-3,minecraft:polished_basalt,31,31,0
I1-4,minecraft:blackstone,416,416,0
I1-5,minecraft:dirt,1,1,0
I1-6,minecraft:dirt,1,1,0
I1-7,minecraft:dripstone_block,2082,2082,0
I1-8,minecraft:gilded_blackstone,3,3,0
I1-9,minecraft:pointed_dripstone,2407,2407,0
I2-1,minecraft:dirt,1,1,0
I2-2,minecraft:stone,19968,2688,17280
I2-3,minecraft:chiseled_stone_bricks,335,335,0
I2-3,minecraft:stone_bricks,534,534,0
I2-3,owlscubed_pob:simple_blocks_logic-main-v20_h1,1,1,0
I2-4,minecraft:chiseled_tuff,1,1,0
I2-4,minecraft:chiseled_tuff_bricks,16,16,0
I2-4,minecraft:polished_tuff,5,5,0
I2-4,minecraft:tuff,266,266,0
I2-4,minecraft:tuff_bricks,29,29,0
I2-5,minecraft:stone,3456,3456,0
I2-6,minecraft:calcite,458,458,0
I2-7,minecraft:dirt,1,1,0
I2-8,minecraft:stone,369,369,0
I2-9,minecraft:dirt,1,1,0
J1-1,minecraft:dirt,1,1,0
J1-2,minecraft:chiseled_polished_blackstone,2,2,0
J1-3,minecraft:dirt,1,1,0
J1-4,minecraft:purpur_block,6,6,0
J1-5,minecraft:end_stone,278,278,0
J1-6,minecraft:sculk_catalyst,3,3,0
J1-6,minecraft:sculk_sensor,11,11,0
J1-6,minecraft:sculk_shrieker,2,2,0
J1-7,minecraft:sculk,62,62,0
J1-8,minecraft:sculk_vein,509,509,0
J1-9,minecraft:dirt,1,1,0
J2-1,minecraft:mushroom_stem,11,11,0
J2-1,minecraft:red_mushroom_block,135,135,0
J2-2,minecraft:dirt,1,1,0
J2-3,minecraft:dirt,1,1,0
J2-4,minecraft:glow_lichen,66,66,0
J2-5,minecraft:dirt,1,1,0
J2-6,minecraft:dirt,1,1,0
J2-7,minecraft:dirt,1,1,0
J2-8,minecraft:dirt,1,1,0
J2-9,minecraft:dirt,1,1,0
K1-1,minecraft:azure_bluet,25,25,0
K1-1,minecraft:blue_orchid,31,31,0
K1-1,minecraft:cactus_flower,8,8,0
K1-1,minecraft:cornflower,57,57,0
K1-1,minecraft:dandelion,35,35,0
K1-1,minecraft:lilac,65,65,0
K1-1,minecraft:lily_of_the_valley,12,12,0
K1-1,minecraft:open_eyeblossom,7,7,0
K1-1,minecraft:orange_tulip,20,20,0
K1-1,minecraft:oxeye_daisy,3,3,0
K1-1,minecraft:peony,14,14,0
K1-1,minecraft:pink_tulip,22,22,0
K1-1,minecraft:poppy,122,122,0
K1-1,minecraft:red_tulip,11,11,0
K1-1,minecraft:rose_bush,12,12,0
K1-1,minecraft:sunflower,3,3,0
K1-1,minecraft:torchflower,10,10,0
K1-1,minecraft:white_tulip,17,17,0
K1-1,minecraft:wildflowers,36,36,0
K1-1,minecraft:wither_rose,2,2,0
K1-2,minecraft:leaf_litter,2222,2222,0
K1-2,minecraft:short_dry_grass,6,6,0
K1-2,minecraft:tall_dry_grass,55,55,0
K1-3,minecraft:moss_block,3606,150,3456
K1-3,minecraft:pale_hanging_moss,12,12,0
K1-3,minecraft:pale_moss_block,32,32,0
K1-4,minecraft:fern,44,44,0
K1-4,minecraft:firefly_bush,16,16,0
K1-4,minecraft:seagrass,104,104,0
K1-4,minecraft:small_dripleaf_block,20,20,0
K1-5,minecraft:mycelium,101,101,0
K1-6,minecraft:pitcher_plant,2,2,0
K1-6,minecraft:pitcher_pod,187,187,0
K1-7,minecraft:sea_pickle,68,68,0
K1-8,minecraft:torchflower_seeds,110,110,0
K1-9,minecraft:azalea,10,10,0
K1-9,minecraft:flowering_azalea,66,66,0
K2-1,minecraft:chiseled_sandstone,74,74,0
K2-2,minecraft:cut_sandstone,43,43,0
K2-3,minecraft:flint,3916,2188,1728
K2-4,minecraft:gravel,10577,1937,8640
K2-5,minecraft:red_sand,47,47,0
K2-6,minecraft:dirt,1,1,0
K2-7,minecraft:sand,2158,878,1280
K2-8,minecraft:sandstone,2223,2223,0
K2-9,minecraft:smooth_sandstone,265,265,0
L1-1,minecraft:blue_ice,29,29,0
L1-2,minecraft:ice,12,12,0
L1-3,minecraft:packed_ice,256,256,0
L1-4,minecraft:powder_snow_bucket,13,13,0
L1-5,minecraft:snow_layer,65,65,0
L1-6,minecraft:snow,58,58,0
L1-7,minecraft:snowball,87,87,0
L1-8,minecraft:dirt,1,1,0
L1-9,minecraft:dirt,1,1,0
L2-1,minecraft:ancient_debris,219,219,0
L2-1,minecraft:netherite_scrap,1,1,0
L2-2,minecraft:charcoal,1,1,0
L2-2,minecraft:coal,230,230,0
L2-2,minecraft:coal_block,2,2,0
L2-2,minecraft:coal_ore,1054,1054,0
L2-3,minecraft:copper_block,3,3,0
L2-3,minecraft:copper_ingot,573,573,0
L2-3,minecraft:copper_nugget,44,44,0
L2-3,minecraft:copper_ore,389,389,0
L2-3,minecraft:copper_trapdoor,5,5,0
L2-3,minecraft:cut_copper,99,99,0
L2-3,minecraft:oxidized_copper,18,18,0
L2-3,minecraft:raw_copper,217,217,0
L2-3,minecraft:raw_copper_block,48,48,0
L2-3,minecraft:waxed_copper,1031,64,967
L2-3,minecraft:waxed_cut_copper_stairs,187,187,0
L2-3,minecraft:waxed_exposed_copper_bulb,22,22,0
L2-3,minecraft:waxed_oxidized_copper,130,130,0
L2-3,minecraft:waxed_oxidized_copper_bulb,5,5,0
L2-4,minecraft:deepslate_diamond_ore,38,38,0
L2-4,minecraft:diamond,35,35,0
L2-5,minecraft:emerald,821,821,0
L2-5,minecraft:emerald_block,556,556,0
L2-5,minecraft:emerald_ore,3,3,0
L2-6,minecraft:deepslate_gold_ore,86,86,0
L2-6,minecraft:gold_block,94,94,0
L2-6,minecraft:gold_ingot,621,621,0
L2-6,minecraft:gold_nugget,248,248,0
L2-6,minecraft:gold_ore,1,1,0
L2-6,minecraft:nether_gold_ore,94,94,0
L2-6,minecraft:raw_gold,57,57,0
L2-7,minecraft:deepslate_iron_ore,12,12,0
L2-7,minecraft:iron_block,62,62,0
L2-7,minecraft:iron_ingot,576,576,0
L2-7,minecraft:iron_nugget,43,43,0
L2-7,minecraft:iron_ore,35,35,0
L2-7,minecraft:raw_iron,24,24,0
L2-8,minecraft:deepslate_lapis_ore,35,35,0
L2-8,minecraft:lapis_lazuli,177,177,0
L2-8,minecraft:lapis_ore,5,5,0
L2-9,minecraft:dirt,1,1,0
M1-1,minecraft:bamboo,579,579,0
M1-1,minecraft:bamboo_block,610,610,0
M1-1,minecraft:bamboo_planks,18,18,0
M1-2,minecraft:cactus,3472,1744,1728
M1-3,minecraft:cocoa_beans,22,22,0
M1-4,minecraft:kelp,1410,1410,0
M1-5,minecraft:sugar,52,52,0
M1-5,minecraft:sugar_cane,3362,3362,0
M1-6,minecraft:turtle_egg,14,14,0
M1-7,minecraft:dirt,1,1,0
M1-8,minecraft:dirt,1,1,0
M1-9,minecraft:dirt,1,1,0
M2-1,minecraft:beetroot,1143,1143,0
M2-1,minecraft:beetroot_seeds,132,132,0
M2-2,minecraft:carrot,7281,2097,5184
M2-3,minecraft:brown_mushroom,480,480,0
M2-3,minecraft:brown_mushroom_block,154,154,0
M2-3,minecraft:red_mushroom,304,304,0
M2-4,minecraft:baked_potato,25,25,0
M2-4,minecraft:poisonous_potato,4,4,0
M2-4,minecraft:potato,312,312,0
M2-5,minecraft:carved_pumpkin,7,7,0
M2-5,minecraft:pumpkin,1134,1134,0
M2-5,minecraft:pumpkin_seeds,353,353,0
M2-5,owlscubed_pob:pale_pumpkin,2,2,0
M2-6,minecraft:hay_block,1412,1412,0
M2-6,minecraft:wheat,290,290,0
M2-6,minecraft:wheat_seeds,531,531,0
M2-7,minecraft:dirt,1,1,0
M2-8,minecraft:dirt,1,1,0
M2-9,minecraft:dirt,1,1,0
N1-1,minecraft:cake,1,1,0
N1-1,minecraft:cookie,31,31,0
N1-1,minecraft:pumpkin_pie,1,1,0
N1-2,minecraft:bread,9,9,0
N1-3,minecraft:enchanted_golden_apple,12,12,0
N1-3,minecraft:golden_apple,68,68,0
N1-4,minecraft:golden_carrot,117,117,0
N1-5,minecraft:dirt,1,1,0
N1-6,minecraft:dirt,1,1,0
N1-7,minecraft:dirt,1,1,0
N1-8,minecraft:dirt,1,1,0
N1-9,minecraft:dirt,1,1,0
N2-1,minecraft:apple,108,108,0
N2-2,minecraft:glow_berries,75,75,0
N2-3,minecraft:glistering_melon_slice,36,36,0
N2-3,minecraft:melon_block,597,597,0
N2-3,minecraft:melon_seeds,82,82,0
N2-3,minecraft:melon_slice,19,19,0
N2-4,minecraft:sweet_berries,73,73,0
N2-5,minecraft:dirt,1,1,0
N2-6,minecraft:dirt,1,1,0
N2-7,minecraft:dirt,1,1,0
N2-8,minecraft:dirt,1,1,0
N2-9,minecraft:dirt,1,1,0
O1-1,minecraft:dirt,1,1,0
O1-2,minecraft:dirt,1,1,0
O1-3,minecraft:dirt,1,1,0
O1-4,minecraft:dirt,1,1,0
O1-5,minecraft:dirt,1,1,0
O1-6,minecraft:dirt,1,1,0
O1-7,minecraft:dirt,1,1,0
O1-8,minecraft:dirt,1,1,0
O1-9,minecraft:dirt,1,1,0
O2-1,minecraft:cooked_cod,247,247,0
O2-1,minecraft:cooked_salmon,138,138,0
O2-2,minecraft:cooked_beef,24,24,0
O2-2,minecraft:cooked_chicken,1442,1442,0
O2-2,minecraft:cooked_mutton,25,25,0
O2-2,minecraft:cooked_porkchop,93,93,0
O2-3,minecraft:brown_egg,2,2,0
O2-3,minecraft:egg,117,117,0
O2-4,minecraft:honey_block,1,1,0
O2-4,minecraft:honey_bottle,16,16,0
O2-4,minecraft:honeycomb,277,277,0
O2-5,minecraft:cod,58,58,0
O2-5,minecraft:salmon,15,15,0
O2-6,minecraft:beef,14,14,0
O2-6,minecraft:chicken,10,10,0
O2-6,minecraft:mutton,32,32,0
O2-6,minecraft:porkchop,35,35,0
O2-6,minecraft:rabbit,3,3,0
O2-7,minecraft:pufferfish,7,7,0
O2-8,minecraft:tropical_fish,16,16,0
O2-9,minecraft:dirt,1,1,0
P1-1,minecraft:armor_stand,11,11,0
P1-2,minecraft:bed,20,20,0
P1-3,minecraft:bell,3,3,0
P1-4,minecraft:bamboo_door,1,1,0
P1-4,minecraft:birch_door,9,9,0
P1-4,minecraft:copper_door,12,12,0
P1-4,minecraft:dark_oak_door,3,3,0
P1-4,minecraft:iron_door,17,17,0
P1-4,minecraft:mangrove_door,5,5,0
P1-4,minecraft:spruce_door,75,75,0
P1-4,minecraft:waxed_copper_door,1,1,0
P1-4,minecraft:wooden_door,6,6,0
P1-5,minecraft:flint_and_steel,7,7,0
P1-6,minecraft:blast_furnace,3,3,0
P1-6,minecraft:brewing_stand,1,1,0
P1-6,minecraft:cartography_table,3,3,0
P1-6,minecraft:composter,77,77,0
P1-6,minecraft:fletching_table,21,21,0
P1-6,minecraft:grindstone,12,12,0
P1-6,minecraft:lectern,19,19,0
P1-6,minecraft:smithing_table,3,3,0
P1-6,minecraft:stonecutter_block,15,15,0
P1-7,minecraft:lead,155,155,0
P1-8,melonbp_mbckt:allay_bucket,5,0,5
P1-8,melonbp_mbckt:armadillo_bucket,5,0,5
P1-8,melonbp_mbckt:bat_bucket,2,1,1
