#,ChestID,Column,Cluster,Number,Categories,Description,Locked,Framed
36,B2-9,B,2,9,Weapons & Combat Gear,,EMPTY,
37,C1-1,C,1,1,Navigation & Transport,Boats (All),Yes,Yes
38,C1-2,C,1,2,Navigation & Transport,Compass,Yes,Yes
39,C1-3,C,1,3,Navigation & Transport,Lodestone,Yes,Yes
40,C1-4,C,1,4,Navigation & Transport,Maps (All),Yes,Yes
41,C1-5,C,1,5,Navigation & Transport,Minecarts (All),Yes,Yes
42,C1-6,C,1,6,Navigation & Transport,Rails (All),Yes,Yes
43,C1-7,C,1,7,Navigation & Transport,Rockets,Yes,Yes
44,C1-8,C,1,8,Navigation & Transport,,EMPTY,
45,C1-9,C,1,9,Navigation & Transport,,EMPTY,
46,C2-1,C,2,1,Tools,Fishing Rods,EMPTY,
47,C2-2,C,2,2,Tools,Hoes,EMPTY,
48,C2-3,C,2,3,Tools,Pickaxes,Yes,Yes
49,C2-4,C,2,4,Tools,Shears,Yes,Yes
50,C2-5,C,2,5,Tools,Shovels,Yes,Yes
51,C2-6,C,2,6,Tools,,EMPTY,
52,C2-7,C,2,7,Tools,,EMPTY,
53,C2-8,C,2,8,Tools,,EMPTY,
54,C2-9,C,2,9,Tools,,EMPTY,
55,D1-1,D,1,1,Enchanting & Magic,Books & Bookshelves,Yes,Yes
56,D1-2,D,1,2,Enchanting & Magic,Enchanted Books,Yes,Yes
57,D1-3,D,1,3,Enchanting & Magic,Glass Bottles & Experience Bottles,Yes,Yes
58,D1-4,D,1,4,Enchanting & Magic,Paper,Yes,Yes
59,D1-5,D,1,5,Enchanting & Magic,Potions,Yes,Yes
60,D1-6,D,1,6,Enchanting & Magic,,EMPTY,
61,D1-7,D,1,7,Enchanting & Magic,,EMPTY,
62,D1-8,D,1,8,Enchanting & Magic,,EMPTY,
63,D1-9,D,1,9,Enchanting & Magic,,EMPTY,
64,D2-1,D,2,1,Storage & Item Transport,Chests,Yes,Yes
65,D2-2,D,2,2,Storage & Item Transport,Copper Chest,Yes,Yes
66,D2-3,D,2,3,Storage & Item Transport,Dispenser,Yes,Yes
67,D2-4,D,2,4,Storage & Item Transport,Dropper,Yes,Yes
68,D2-5,D,2,5,Storage & Item Transport,Ender Chest,Yes,Yes
69,D2-6,D,2,6,Storage & Item Transport,Hopper,Yes,Yes
70,D2-7,D,2,7,Storage & Item Transport,Shulker Boxes,Yes,Yes
71,D2-8,D,2,8,Storage & Item Transport,,EMPTY,
72,D2-9,D,2,9,Storage & Item Transport,,EMPTY,
73,E1-1,E,1,1,Lighting & Illumination,Candles (All),Yes,Yes
74,E1-2,E,1,2,Lighting & Illumination,End Rods,EMPTY,
75,E1-3,E,1,3,Lighting & Illumination,Froglights (All Types),EMPTY,
76,E1-4,E,1,4,Lighting & Illumination,Lanterns (Normal & Soul),Yes,Yes
77,E1-5,E,1,5,Lighting & Illumination,Redstone Lamps,Yes,Yes
78,E1-6,E,1,6,Lighting & Illumination,Screens (All),Yes,Yes
79,E1-7,E,1,7,Lighting & Illumination,Sea Lanterns,EMPTY,
80,E1-8,E,1,8,Lighting & Illumination,Torches (Normal & Soul),Yes,Yes
81,E1-9,E,1,9,Lighting & Illumination,,EMPTY,
82,E2-1,E,2,1,Decorative Materials,Bricks,Yes,Yes
83,E2-2,E,2,2,Decorative Materials,Carpet (All Colors),Yes,Yes
84,E2-3,E,2,3,Decorative Materials,Concrete,Yes,Yes
85,E2-4,E,2,4,Decorative Materials,Concrete Powder,EMPTY,
86,E2-5,E,2,5,Decorative Materials,Copper Blocks (Cut/Chiseled/Bricks/Tiles),Yes,Yes
87,E2-6,E,2,6,Decorative Materials,Copper Components (Grates/Bulbs/Doors/Trapdoors),Yes,Yes
88,E2-7,E,2,7,Decorative Materials,Dyes (All Colors),Yes,Yes
89,E2-8,E,2,8,Decorative Materials,Glass,Yes,Yes
90,E2-9,E,2,9,Decorative Materials,Glass Panes,Yes,Yes
91,F1-1,F,1,1,Decorative Artifacts,Armor Trims & Banner Patterns,Yes,Yes
92,F1-2,F,1,2,Decorative Artifacts,Pottery Sherds (All),Yes,Yes
93,F1-3,F,1,3,Decorative Artifacts,Sniffer Eggs,Yes,Yes
94,F1-4,F,1,4,Decorative Artifacts,,EMPTY,
95,F1-5,F,1,5,Decorative Artifacts,,EMPTY,
96,F1-6,F,1,6,Decorative Artifacts,,EMPTY,
97,F1-7,F,1,7,Decorative Artifacts,,EMPTY,
98,F1-8,F,1,8,Decorative Artifacts,,EMPTY,
99,F1-9,F,1,9,Decorative Artifacts,,EMPTY,
100,F2-1,F,2,1,Decorative Materials,Nether Bricks,Yes,Yes
101,F2-2,F,2,2,Decorative Materials,Quartz Blocks,Yes,Yes
102,F2-3,F,2,3,Decorative Materials,Stained Glass (Colors),Yes,Yes
103,F2-4,F,2,4,Decorative Materials,Terracotta (All / Colored / Glazed),Yes,Yes
104,F2-5,F,2,5,Decorative Materials,Wool (All Colors),Yes,Yes
105,F2-6,F,2,6,Decorative Materials,,EMPTY,
106,F2-7,F,2,7,Decorative Materials,,EMPTY,
107,F2-8,F,2,8,Decorative Materials,,EMPTY,
108,F2-9,F,2,9,Decorative Materials,,EMPTY,
109,G1-1,G,1,1,UNUSED,,EMPTY,
110,G1-2,G,1,2,UNUSED,,EMPTY,
111,G1-3,G,1,3,UNUSED,,EMPTY,
112,G1-4,G,1,4,UNUSED,,EMPTY,
113,G1-5,G,1,5,UNUSED,,EMPTY,
114,G1-6,G,1,6,UNUSED,,EMPTY,
115,G1-7,G,1,7,UNUSED,,EMPTY,
116,G1-8,G,1,8,UNUSED,,EMPTY,
117,G1-9,G,1,9,UNUSED,,EMPTY,
118,G2-1,G,2,1,Building Shapes,Iron Bars,Yes,Yes
119,G2-2,G,2,2,Building Shapes,Stone & Mineral Slabs (All),Yes,Yes
120,G2-3,G,2,3,Building Shapes,Stone & Mineral Stairs (All),Yes,Yes
121,G2-4,G,2,4,Building Shapes,Stone & Mineral Walls (All),Yes,Yes
122,G2-5,G,2,5,Building Shapes,Wood Fences & Gates (All),Yes,Yes
123,G2-6,G,2,6,Building Shapes,Wood Slabs (All),Yes,Yes
124,G2-7,G,2,7,Building Shapes,Wood Stairs (All),Yes,Yes
125,G2-8,G,2,8,Building Shapes,,EMPTY,
126,G2-9,G,2,9,Building Shapes,,EMPTY,
127,H1-1,H,1,1,Building Utilities,Buckets (Empty & Fluid),Yes,Yes
128,H1-2,H,1,2,Building Utilities,Crafting Table,Yes,Yes
129,H1-3,H,1,3,Building Utilities,Furnace,Yes,Yes
130,H1-4,H,1,4,Building Utilities,Item Frames (Normal & Glow),Yes,Yes
131,H1-5,H,1,5,Building Utilities,Ladders,Yes,Yes
132,H1-6,H,1,6,Building Utilities,Scaffolding,Yes,Yes
133,H1-7,H,1,7,Building Utilities,Sticks,Yes,Yes
134,H1-8,H,1,8,Building Utilities,,EMPTY,
135,H1-9,H,1,9,Building Utilities,,EMPTY,
136,H2-1,H,2,1,Core Stone & Deepslate,Andesite (All),Yes,Yes
137,H2-2,H,2,2,Core Stone & Deepslate,Bricks Variants,Yes,Yes
138,H2-3,H,2,3,Core Stone & Deepslate,Cobbled Deepslate,Yes,Yes
139,H2-4,H,2,4,Core Stone & Deepslate,Cobblestone,Yes,Yes
140,H2-5,H,2,5,Core Stone & Deepslate,Deepslate,Yes,Yes
141,H2-6,H,2,6,Core Stone & Deepslate,Diorite (All),Yes,Yes
142,H2-7,H,2,7,Core Stone & Deepslate,Granite (All),Yes,Yes
143,H2-8,H,2,8,Core Stone & Deepslate,Polished Deepslate,Yes,Yes
144,H2-9,H,2,9,Core Stone & Deepslate,Smooth Stone,Yes,Yes
145,I1-1,I,1,1,Exotic & Biome Stone,Amethyst Block,EMPTY,
146,I1-2,I,1,2,Exotic & Biome Stone,Amethyst Shard,Yes,Yes
147,I1-3,I,1,3,Exotic & Biome Stone,Basalt,Yes,Yes
148,I1-4,I,1,4,Exotic & Biome Stone,Blackstone,Yes,Yes
149,I1-5,I,1,5,Exotic & Biome Stone,Blackstone Bricks,EMPTY,
150,I1-6,I,1,6,Exotic & Biome Stone,Calcite,EMPTY,
151,I1-7,I,1,7,Exotic & Biome Stone,Dripstone Block,Yes,Yes
152,I1-8,I,1,8,Exotic & Biome Stone,Gilded Blackstone,EMPTY,
153,I1-9,I,1,9,Exotic & Biome Stone,Pointed Dripstone,Yes,Yes
154,I2-1,I,2,1,Core Stone & Deepslate,Smooth Stone Block (Addon),Yes,Yes
155,I2-2,I,2,2,Core Stone & Deepslate,Stone,Yes,Yes
156,I2-3,I,2,3,Core Stone & Deepslate,Stone Bricks,Yes,Yes
157,I2-4,I,2,4,Core Stone & Deepslate,Tuff (All),Yes,Yes
158,I2-5,I,2,5,Core Stone & Deepslate,,EMPTY,
159,I2-6,I,2,6,Core Stone & Deepslate,,EMPTY,
160,I2-7,I,2,7,Core Stone & Deepslate,,EMPTY,
161,I2-8,I,2,8,Core Stone & Deepslate,,EMPTY,
162,I2-9,I,2,9,Core Stone & Deepslate,,EMPTY,
163,J1-1,J,1,1,Exotic & Biome Stone,Polished Basalt,EMPTY,
164,J1-2,J,1,2,Exotic & Biome Stone,Polished Blackstone,EMPTY,
165,J1-3,J,1,3,Exotic & Biome Stone,Smooth Basalt,EMPTY,
166,J1-4,J,1,4,Exotic & Biome Stone,Purpur Blocks (All Variants),Yes,Yes
167,J1-5,J,1,5,Exotic & Biome Stone,,EMPTY,
168,J1-6,J,1,6,Exotic & Biome Stone,,EMPTY,
169,J1-7,J,1,7,Exotic & Biome Stone,,EMPTY,
170,J1-8,J,1,8,Exotic & Biome Stone,,EMPTY,
171,J1-9,J,1,9,Exotic & Biome Stone,,EMPTY,
172,J2-1,J,2,1,UNUSED,,EMPTY,
173,J2-2,J,2,2,UNUSED,,EMPTY,
174,J2-3,J,2,3,UNUSED,,EMPTY,
175,J2-4,J,2,4,UNUSED,,EMPTY,
176,J2-5,J,2,5,UNUSED,,EMPTY,
177,J2-6,J,2,6,UNUSED,,EMPTY,
178,J2-7,J,2,7,UNUSED,,EMPTY,
179,J2-8,J,2,8,UNUSED,,EMPTY,
180,J2-9,J,2,9,UNUSED,,EMPTY,
181,K1-1,K,1,1,Organic Terrain & Flora,Flowers (All),Yes,Yes
182,K1-2,K,1,2,Organic Terrain & Flora,Leaf Litter,Yes,Yes
183,K1-3,K,1,3,Organic Terrain & Flora,Moss Block,Yes,Yes
184,K1-4,K,1,4,Organic Terrain & Flora,Moss Carpet,EMPTY,
185,K1-5,K,1,5,Organic Terrain & Flora,Mycelium,Yes,Yes
186,K1-6,K,1,6,Organic Terrain & Flora,Pitcher Pods,Yes,Yes
187,K1-7,K,1,7,Organic Terrain & Flora,Sea Pickles,Yes,Yes
188,K1-8,K,1,8,Organic Terrain & Flora,Torchflower Seeds,Yes,Yes
189,K1-9,K,1,9,Organic Terrain & Flora,,EMPTY,
190,K2-1,K,2,1,"Sand, Gravel & Sandstone",Chiseled Sandstone,Yes,Yes
191,K2-2,K,2,2,"Sand, Gravel & Sandstone",Cut Sandstone,Yes,Yes
192,K2-3,K,2,3,"Sand, Gravel & Sandstone",Flint,Yes,Yes
193,K2-4,K,2,4,"Sand, Gravel & Sandstone",Gravel,Yes,Yes
194,K2-5,K,2,5,"Sand, Gravel & Sandstone",Red Sand,EMPTY,
195,K2-6,K,2,6,"Sand, Gravel & Sandstone",Red Sandstone (All Variants),EMPTY,
196,K2-7,K,2,7,"Sand, Gravel & Sandstone",Sand,Yes,Yes
197,K2-8,K,2,8,"Sand, Gravel & Sandstone",Sandstone,Yes,Yes
198,K2-9,K,2,9,"Sand, Gravel & Sandstone",Smooth Sandstone,Yes,Yes
199,L1-1,L,1,1,Cold & Frozen Terrain,Blue Ice,EMPTY,
200,L1-2,L,1,2,Cold & Frozen Terrain,Ice,EMPTY,
201,L1-3,L,1,3,Cold & Frozen Terrain,Packed Ice,Yes,Yes
202,L1-4,L,1,4,Cold & Frozen Terrain,Powder Snow Bucket,Yes,Yes
203,L1-5,L,1,5,Cold & Frozen Terrain,Snow,EMPTY,
204,L1-6,L,1,6,Cold & Frozen Terrain,Snow Block,Yes,Yes
205,L1-7,L,1,7,Cold & Frozen Terrain,Snowballs,Yes,Yes
206,L1-8,L,1,8,Cold & Frozen Terrain,,EMPTY,
207,L1-9,L,1,9,Cold & Frozen Terrain,,EMPTY,
208,L2-1,L,2,1,Ores & Raw Metals,Ancient Debris / Netherite (All Forms),Yes,Yes
209,L2-2,L,2,2,Ores & Raw Metals,Coal (All Forms),Yes,Yes
210,L2-3,L,2,3,Ores & Raw Metals,Copper (All Forms),Yes,Yes
211,L2-4,L,2,4,Ores & Raw Metals,Diamond (All Forms),Yes,Yes
212,L2-5,L,2,5,Ores & Raw Metals,Emerald (All Forms),Yes,Yes
213,L2-6,L,2,6,Ores & Raw Metals,Gold (All Forms),Yes,Yes
214,L2-7,L,2,7,Ores & Raw Metals,Iron (All Forms),Yes,Yes
215,L2-8,L,2,8,Ores & Raw Metals,Lapis (All Forms),Yes,Yes
216,L2-9,L,2,9,Ores & Raw Metals,Redstone (All Forms),EMPTY,
217,M1-1,M,1,1,Farming - Plant Materials,Bamboo & Bamboo Blocks,Yes,Yes
218,M1-2,M,1,2,Farming - Plant Materials,Cactus,EMPTY,
219,M1-3,M,1,3,Farming - Plant Materials,Cocoa Beans,Yes,Yes
220,M1-4,M,1,4,Farming - Plant Materials,Kelp,Yes,Yes
221,M1-5,M,1,5,Farming - Plant Materials,Sugar Cane,EMPTY,
222,M1-6,M,1,6,Farming - Plant Materials,,EMPTY,
223,M1-7,M,1,7,Farming - Plant Materials,,EMPTY,
224,M1-8,M,1,8,Farming - Plant Materials,,EMPTY,
225,M1-9,M,1,9,Farming - Plant Materials,,EMPTY,
226,M2-1,M,2,1,Farming - Vegetables,Beetroot & Seeds,Yes,Yes
227,M2-2,M,2,2,Farming - Vegetables,Carrots,Yes,Yes
228,M2-3,M,2,3,Farming - Vegetables,Mushrooms,Yes,Yes
229,M2-4,M,2,4,Farming - Vegetables,Potatoes,Yes,Yes
230,M2-5,M,2,5,Farming - Vegetables,Pumpkins & Seeds,Yes,Yes
231,M2-6,M,2,6,Farming - Vegetables,Wheat & Seeds,Yes,Yes
232,M2-7,M,2,7,Farming - Vegetables,,EMPTY,
233,M2-8,M,2,8,Farming - Vegetables,,EMPTY,
234,M2-9,M,2,9,Farming - Vegetables,,EMPTY,
235,N1-1,N,1,1,Farming - Prepared Foods,Baked Goods (Cookies / Cake / Pies),Yes,Yes
236,N1-2,N,1,2,Farming - Prepared Foods,Bread,Yes,Yes
237,N1-3,N,1,3,Farming - Prepared Foods,Golden Apples (All),Yes,Yes
238,N1-4,N,1,4,Farming - Prepared Foods,Golden Carrots,Yes,Yes
239,N1-5,N,1,5,Farming - Prepared Foods,Stews & Soups (All),EMPTY,
240,N1-6,N,1,6,Farming - Prepared Foods,,EMPTY,
241,N1-7,N,1,7,Farming - Prepared Foods,,EMPTY,
242,N1-8,N,1,8,Farming - Prepared Foods,,EMPTY,
243,N1-9,N,1,9,Farming - Prepared Foods,,EMPTY,
244,N2-1,N,2,1,Farming - Fruits,Apples,Yes,Yes
245,N2-2,N,2,2,Farming - Fruits,Glow Berries,Yes,Yes
246,N2-3,N,2,3,Farming - Fruits,Melons,Yes,Yes
247,N2-4,N,2,4,Farming - Fruits,Sweet Berries,Yes,Yes
248,N2-5,N,2,5,Farming - Fruits,,EMPTY,
249,N2-6,N,2,6,Farming - Fruits,,EMPTY,
250,N2-7,N,2,7,Farming - Fruits,,EMPTY,
251,N2-8,N,2,8,Farming - Fruits,,EMPTY,
252,N2-9,N,2,9,Farming - Fruits,,EMPTY,
253,O1-1,O,1,1,UNUSED,,EMPTY,
254,O1-2,O,1,2,UNUSED,,EMPTY,
255,O1-3,O,1,3,UNUSED,,EMPTY,
256,O1-4,O,1,4,UNUSED,,EMPTY,
257,O1-5,O,1,5,UNUSED,,EMPTY,
258,O1-6,O,1,6,UNUSED,,EMPTY,
259,O1-7,O,1,7,UNUSED,,EMPTY,
260,O1-8,O,1,8,UNUSED,,EMPTY,
261,O1-9,O,1,9,UNUSED,,EMPTY,
262,O2-1,O,2,1,Farming - Meats & Animal Products,Cooked Fish,Yes,Yes
263,O2-2,O,2,2,Farming - Meats & Animal Products,Cooked Meats (All),Yes,Yes
264,O2-3,O,2,3,Farming - Meats & Animal Products,Eggs,Yes,Yes
265,O2-4,O,2,4,Farming - Meats & Animal Products,Honey Bottles / Honeycomb,Yes,Yes
266,O2-5,O,2,5,Farming - Meats & Animal Products,Raw Fish,Yes,Yes
267,O2-6,O,2,6,Farming - Meats & Animal Products,Raw Meats (All),Yes,Yes
268,O2-7,O,2,7,Farming - Meats & Animal Products,,EMPTY,
269,O2-8,O,2,8,Farming - Meats & Animal Products,,EMPTY,
270,O2-9,O,2,9,Farming - Meats & Animal Products,,EMPTY,
271,P1-1,P,1,1,Utilities,Armor Stands,EMPTY,
272,P1-2,P,1,2,Utilities,Beds (All Colors),Yes,Yes
273,P1-3,P,1,3,Utilities,Bells,EMPTY,
274,P1-4,P,1,4,Utilities,Doors (All),Yes,Yes
275,P1-5,P,1,5,Utilities,Flint and Steel,Yes,Yes
276,P1-6,P,1,6,Utilities,Job Site Blocks (All),Yes,Yes
277,P1-7,P,1,7,Utilities,Leads,Yes,Yes
278,P1-8,P,1,8,Utilities,Mob Buckets (All Mobs),Yes,Yes
279,P1-9,P,1,9,Utilities,Name Tags,Yes,Yes
280,P2-1,P,2,1,Overworld Wood - Growth Material,Leaves (All Types),Yes,Yes
281,P2-2,P,2,2,Overworld Wood - Growth Material,Saplings (All Types),Yes,Yes
282,P2-3,P,2,3,Overworld Wood - Growth Material,,EMPTY,
283,P2-4,P,2,4,Overworld Wood - Growth Material,,EMPTY,
284,P2-5,P,2,5,Overworld Wood - Growth Material,,EMPTY,
285,P2-6,P,2,6,Overworld Wood - Growth Material,,EMPTY,
286,P2-7,P,2,7,Overworld Wood - Growth Material,,EMPTY,
287,P2-8,P,2,8,Overworld Wood - Growth Material,,EMPTY,
288,P2-9,P,2,9,Overworld Wood - Growth Material,,EMPTY,
289,Q1-1,Q,1,1,Utilities,Signs & Hanging Signs (All),Yes,Yes
290,Q1-2,Q,1,2,Utilities,Sponge,Yes,Yes
291,Q1-3,Q,1,3,Utilities,Trapdoors (All),Yes,Yes
292,Q1-4,Q,1,4,Utilities,,EMPTY,
293,Q1-5,Q,1,5,Utilities,,EMPTY,
294,Q1-6,Q,1,6,Utilities,,EMPTY,
295,Q1-7,Q,1,7,Utilities,,EMPTY,
296,Q1-8,Q,1,8,Utilities,,EMPTY,
297,Q1-9,Q,1,9,Utilities,,EMPTY,
298,Q2-1,Q,2,1,Overworld Wood - Logs,Acacia Logs,Yes,Yes
299,Q2-2,Q,2,2,Overworld Wood - Logs,Birch Logs,Yes,Yes
300,Q2-3,Q,2,3,Overworld Wood - Logs,Cherry Logs,Yes,Yes
301,Q2-4,Q,2,4,Overworld Wood - Logs,Dark Oak Logs,Yes,Yes
302,Q2-5,Q,2,5,Overworld Wood - Logs,Jungle Logs,Yes,Yes
303,Q2-6,Q,2,6,Overworld Wood - Logs,Mangrove Logs,Yes,Yes
304,Q2-7,Q,2,7,Overworld Wood - Logs,Oak Logs,Yes,Yes
305,Q2-8,Q,2,8,Overworld Wood - Logs,Pale Oak Logs,Yes,Yes
306,Q2-9,Q,2,9,Overworld Wood - Logs,Spruce Logs,Yes,Yes
307,R1-1,R,1,1,Oceanic Materials,Coral (All Types),EMPTY,
308,R1-2,R,1,2,Oceanic Materials,Coral Blocks (All Types),EMPTY,
309,R1-3,R,1,3,Oceanic Materials,Coral Fans (All Types),EMPTY,
310,R1-4,R,1,4,Oceanic Materials,Dark Prismarine,EMPTY,
311,R1-5,R,1,5,Oceanic Materials,Prismarine,Yes,Yes
312,R1-6,R,1,6,Oceanic Materials,Prismarine Bricks,Yes,Yes
313,R1-7,R,1,7,Oceanic Materials,Prismarine Crystals,EMPTY,
314,R1-8,R,1,8,Oceanic Materials,Prismarine Shards,Yes,Yes
315,R1-9,R,1,9,Oceanic Materials,,EMPTY,
316,R2-1,R,2,1,Overworld Wood - Planks,Acacia Planks,Yes,Yes
317,R2-2,R,2,2,Overworld Wood - Planks,Birch Planks,Yes,Yes
318,R2-3,R,2,3,Overworld Wood - Planks,Cherry Planks,Yes,Yes
319,R2-4,R,2,4,Overworld Wood - Planks,Dark Oak Planks,Yes,Yes
320,R2-5,R,2,5,Overworld Wood - Planks,Jungle Planks,Yes,Yes
321,R2-6,R,2,6,Overworld Wood - Planks,Mangrove Planks,Yes,Yes
322,R2-7,R,2,7,Overworld Wood - Planks,Oak Planks,Yes,Yes
323,R2-8,R,2,8,Overworld Wood - Planks,Pale Oak Planks,Yes,Yes
324,R2-9,R,2,9,Overworld Wood - Planks,Spruce Planks,Yes,Yes
325,S1-1,S,1,1,Nether Materials,Campfires (Normal & Soul),Yes,Yes
326,S1-2,S,1,2,Nether Materials,Crimson Nylium,Yes,Yes
327,S1-3,S,1,3,Nether Materials,Crimson Stems & Planks,Yes,Yes
328,S1-4,S,1,4,Nether Materials,Fungus (Crimson & Warped),Yes,Yes
329,S1-5,S,1,5,Nether Materials,Glowstone & Glowstone Dust,Yes,Yes
330,S1-6,S,1,6,Nether Materials,Magma Block,Yes,Yes
331,S1-7,S,1,7,Nether Materials,Magma Columns (Addon),Yes,Yes
332,S1-8,S,1,8,Nether Materials,Nether Wart & Wart Block,Yes,Yes
333,S1-9,S,1,9,Nether Materials,Netherrack,Yes,Yes
334,S2-1,S,2,1,Redstone & Logic,Buttons (All),Yes,Yes
335,S2-2,S,2,2,Redstone & Logic,Comparator,Yes,Yes
336,S2-3,S,2,3,Redstone & Logic,Levers,Yes,Yes
337,S2-4,S,2,4,Redstone & Logic,Lightning Rods,EMPTY,
338,S2-5,S,2,5,Redstone & Logic,Observer,Yes,Yes
339,S2-6,S,2,6,Redstone & Logic,Piston,EMPTY,
340,S2-7,S,2,7,Redstone & Logic,Pressure Plates (All),EMPTY,
341,S2-8,S,2,8,Redstone & Logic,Redstone Dust,Yes,Yes
342,S2-9,S,2,9,Redstone & Logic,Redstone Torch,Yes,Yes
343,T1-1,T,1,1,Nether Materials,Obsidian & Crying Obsidian,Yes,Yes
344,T1-2,T,1,2,Nether Materials,Quartz Ore & Quartz,Yes,Yes
345,T1-3,T,1,3,Nether Materials,Shroomlight,EMPTY,
346,T1-4,T,1,4,Nether Materials,Soul Sand,Yes,Yes
347,T1-5,T,1,5,Nether Materials,Soul Soil,Yes,Yes
348,T1-6,T,1,6,Nether Materials,Vines (Twisting & Weeping),Yes,Yes
349,T1-7,T,1,7,Nether Materials,Warped Nylium,Yes,Yes
350,T1-8,T,1,8,Nether Materials,Warped Stems & Planks,EMPTY,
351,T1-9,T,1,9,Nether Materials,,EMPTY,
352,T2-1,T,2,1,Redstone & Logic,Repeater,Yes,Yes
353,T2-2,T,2,2,Redstone & Logic,Sticky Piston,EMPTY,
354,T2-3,T,2,3,Redstone & Logic,,EMPTY,
355,T2-4,T,2,4,Redstone & Logic,,EMPTY,
356,T2-5,T,2,5,Redstone & Logic,,EMPTY,
357,T2-6,T,2,6,Redstone & Logic,,EMPTY,
358,T2-7,T,2,7,Redstone & Logic,,EMPTY,
359,T2-8,T,2,8,Redstone & Logic,,EMPTY,
360,T2-9,T,2,9,Redstone & Logic,,EMPTY,
361,U1-1,U,1,1,Rare & Boss Mob Drops,Armadillo Scute,Yes,Yes
362,U1-2,U,1,2,Rare & Boss Mob Drops,Blaze Powder,,
363,U1-3,U,1,3,Rare & Boss Mob Drops,Chorus Fruit,,
364,U1-4,U,1,4,Rare & Boss Mob Drops,Dragon Breath,,
365,U1-5,U,1,5,Rare & Boss Mob Drops,Echo Shard,,
366,U1-6,U,1,6,Rare & Boss Mob Drops,Eye of Ender,Yes,Yes
367,U1-7,U,1,7,Rare & Boss Mob Drops,Heart of the Sea,Yes,Yes
368,U1-8,U,1,8,Rare & Boss Mob Drops,Heavy Core,,
369,U1-9,U,1,9,Rare & Boss Mob Drops,Nether Star,,
370,U2-1,U,2,1,Mob Drops & Loot,Blaze Rod,Yes,Yes
371,U2-2,U,2,2,Mob Drops & Loot,Bone Meal,Yes,Yes
372,U2-3,U,2,3,Mob Drops & Loot,Bones,Yes,Yes
373,U2-4,U,2,4,Mob Drops & Loot,Breeze Rods,Yes,Yes
374,U2-5,U,2,5,Mob Drops & Loot,Ender Pearl,Yes,Yes
375,U2-6,U,2,6,Mob Drops & Loot,Feathers,Yes,Yes
376,U2-7,U,2,7,Mob Drops & Loot,Ghast Tear,Yes,Yes
377,U2-8,U,2,8,Mob Drops & Loot,Glow Ink Sac,Yes,Yes
378,U2-9,U,2,9,Mob Drops & Loot,Gunpowder,Yes,Yes
379,V1-1,V,1,1,Rare & Boss Mob Drops,Popped Chorus Fruit,Yes,Yes
380,V1-2,V,1,2,Rare & Boss Mob Drops,Shulker Shell,,
381,V1-3,V,1,3,Rare & Boss Mob Drops,Totem of Undying,Yes,Yes
382,V1-4,V,1,4,Rare & Boss Mob Drops,Wither Skeleton Skull,,
383,V1-5,V,1,5,Rare & Boss Mob Drops,,EMPTY,
